"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,"A00-R99,U00-Y89 All causes, all ages",,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Hounslow,962.82,885.95,918.90,921.36,943.37,952.03,888.03,"1,063.18",994.13,892.75
Kingston upon Thames,926.62,780.33,891.93,833.85,862.56,868.34,805.19,906.99,880.72,841.20
Merton,927.45,888.54,911.68,860.33,860.02,885.76,836.17,"1,033.54",936.60,843.13
Redbridge,919.78,830.11,954.13,859.99,838.44,841.81,795.87,"1,080.21",992.00,903.67
Richmond upon Thames,798.27,717.95,832.67,743.65,764.42,740.05,744.11,799.75,760.17,761.45
Sutton,908.80,965.58,869.29,925.79,852.40,935.89,842.78,986.43,981.35,871.45
Waltham Forest,919.98,953.52,"1,004.78",917.23,895.73,909.51,883.28,"1,094.95","1,017.34",948.71
Bracknell Forest,847.94,801.95,875.07,835.39,819.85,797.78,775.42,873.51,824.94,902.49
Brighton and Hove,967.46,912.14,980.78,983.55,"1,013.57","1,019.95",953.71,"1,021.51","1,040.41",972.80
Isle of Wight,956.11,917.02,933.11,928.47,953.61,926.58,894.77,978.23,"1,059.52",901.75
Medway,"1,017.99","1,060.91","1,098.33",995.42,"1,006.61","1,053.25","1,003.29","1,147.98","1,148.19","1,022.46"
Milton Keynes,996.11,"1,002.51","1,031.53",995.93,978.99,990.56,934.47,"1,061.23","1,017.99",970.62
Portsmouth,"1,086.82","1,075.57","1,072.13","1,071.76","1,074.34","1,075.14","1,072.22","1,058.71","1,171.57","1,066.90"
Reading,"1,052.04",937.68,983.50,994.32,"1,031.50",909.23,927.07,"1,172.21","1,026.03","1,007.76"
Slough,"1,052.21",974.33,"1,037.10","1,073.37",975.66,"1,028.50",991.30,"1,117.65","1,203.02","1,062.92"
Southampton,"1,062.45",993.43,"1,020.33","1,073.18","1,052.80","1,059.78",975.86,"1,098.83","1,120.29","1,051.77"
West Berkshire,919.47,841.96,856.62,864.97,837.23,778.24,777.84,913.29,850.59,815.21
Windsor and Maidenhead,880.09,838.17,840.41,836.24,844.76,832.27,832.19,899.79,872.44,819.07
Wokingham,861.36,835.31,850.41,838.24,763.40,757.19,764.38,834.17,774.47,792.55
Buckinghamshire,824.96,820.27,855.14,793.45,834.57,817.54,782.42,883.71,881.84,822.40
East Sussex,911.82,864.41,920.08,889.82,897.54,904.70,885.75,933.38,988.44,906.25
Hampshire,890.66,844.56,870.40,856.72,858.43,854.53,812.46,887.91,859.17,838.29
Kent,951.16,931.79,972.66,952.97,949.62,971.22,928.16,"1,050.23","1,001.36",960.08
Oxfordshire,896.08,882.86,853.94,857.34,845.87,844.82,820.48,895.36,844.82,828.44
Surrey,860.91,833.11,877.61,848.79,829.03,804.49,777.75,921.50,856.52,824.85
West Sussex,888.30,866.05,915.09,878.55,900.02,876.82,843.02,932.11,903.79,880.73
Bath and North East Somerset,908.42,826.95,895.43,906.64,857.42,829.69,834.11,903.42,854.26,869.48
"Bristol, City of","1,084.23",975.80,994.20,"1,017.00","1,005.17","1,055.79",993.44,"1,063.75","1,086.30","1,075.54"
Cornwall,973.07,927.50,967.07,969.15,956.98,977.61,900.03,936.95,961.70,955.38
Isles of Scilly,870.81,661.80,643.50,582.64,880.67,513.10,692.72,453.24,661.04,703.97
North Somerset,931.33,881.50,953.93,947.84,908.09,912.97,834.26,944.56,891.26,914.09
Plymouth,"1,037.78",971.64,"1,029.06","1,034.55","1,063.84","1,057.16","1,020.52","1,029.59","1,058.65","1,054.62"
"Bournemouth, Christchurch and Poole",930.50,900.42,967.66,932.87,931.07,904.16,875.63,960.72,983.89,948.96
South Gloucestershire,873.73,808.89,873.51,851.55,888.11,865.11,784.79,907.87,829.79,889.31
Swindon,"1,020.58",954.92,997.97,961.93,"1,000.07",944.97,919.17,"1,051.11",944.39,988.24
Torbay,998.92,981.47,"1,013.44","1,045.36",991.57,"1,001.03",946.60,998.89,"1,004.78","1,006.81"
Wiltshire,897.95,860.29,926.78,881.73,894.07,868.73,802.09,917.77,877.24,863.21
Devon,876.60,864.72,903.70,901.61,872.17,882.71,851.87,858.86,844.01,867.78
Dorset,849.68,798.14,858.62,869.53,831.57,849.52,793.47,855.46,856.04,821.55
Gloucestershire,966.95,914.74,927.10,962.87,911.81,908.88,889.76,977.35,917.28,942.02
Somerset,902.65,856.08,921.92,895.41,886.27,886.31,864.76,916.37,926.42,911.70
Isle of Anglesey,"1,041.65",950.11,"1,048.65",994.30,948.39,"1,023.13",933.54,998.23,"1,035.46",991.51
Gwynedd,920.60,898.00,"1,050.51",963.02,974.65,"1,022.74","1,011.34","1,016.69",966.07,974.22
Conwy,"1,003.80",989.00,982.41,936.47,981.42,"1,042.08",992.27,988.32,"1,014.52","1,022.17"
Denbighshire,"1,138.84","1,164.81","1,083.87","1,179.09","1,128.32","1,126.88","1,098.53","1,154.48","1,130.14","1,131.89"
