"","Service","SupportSetting","DH_GEOGRAPHY_NAME","Sector","Expenditure","year","percent_sector"
"187","C1","assessment_care_management","SHROPSHIRE","In House","1887.39659415297",2001,99.9999999999999
"188","C1","assessment_care_management","SHROPSHIRE","External","0",2001,0
"189","C1","assessment_care_management","SHROPSHIRE","Total","1887.39659415297",2001,100
"190","C1","assessment_care_management","SOMERSET","In House","4969.49414598451",2001,100
"191","C1","assessment_care_management","SOMERSET","External","0",2001,0
"192","C1","assessment_care_management","SOMERSET","Total","4969.49414598451",2001,100
"193","C1","assessment_care_management","STAFFORDSHIRE","In House","10002",2001,94.8956356736243
"194","C1","assessment_care_management","STAFFORDSHIRE","External","538",2001,5.10436432637571
"195","C1","assessment_care_management","STAFFORDSHIRE","Total","10540",2001,100
"196","C1","assessment_care_management","SUFFOLK","In House","5276.46328694176",2001,100
"197","C1","assessment_care_management","SUFFOLK","External","0",2001,0
"198","C1","assessment_care_management","SUFFOLK","Total","5276.46328694176",2001,100
"199","C1","assessment_care_management","SURREY","In House","13931",2001,100
"200","C1","assessment_care_management","SURREY","External","0",2001,0
"201","C1","assessment_care_management","SURREY","Total","13931",2001,100
"202","C1","assessment_care_management","WARWICKSHIRE","In House","4267",2001,100
"203","C1","assessment_care_management","WARWICKSHIRE","External","0",2001,0
"204","C1","assessment_care_management","WARWICKSHIRE","Total","4267",2001,100
"205","C1","assessment_care_management","WEST SUSSEX","In House","6815.69320710672",2001,100
"206","C1","assessment_care_management","WEST SUSSEX","External","0",2001,0
"207","C1","assessment_care_management","WEST SUSSEX","Total","6815.69320710672",2001,100
"208","C1","assessment_care_management","WILTSHIRE","In House","6611.02286348502",2001,99.9999999999999
"209","C1","assessment_care_management","WILTSHIRE","External","0",2001,0
"210","C1","assessment_care_management","WILTSHIRE","Total","6611.02286348502",2001,100
"211","C1","assessment_care_management","WORCESTERSHIRE","In House","3661.16002239425",2001,99.6729110912876
"212","C1","assessment_care_management","WORCESTERSHIRE","External","12.014546612869",2001,0.327088908712459
"213","C1","assessment_care_management","WORCESTERSHIRE","Total","3673.17456900712",2001,100
"214","C1","assessment_care_management","BATH AND NORTH EAST SOMERSET","In House","1539.4576989312",2001,90.3221944422692
"215","C1","assessment_care_management","BATH AND NORTH EAST SOMERSET","External","164.949184047235",2001,9.67780555773093
"216","C1","assessment_care_management","BATH AND NORTH EAST SOMERSET","Total","1704.40688297843",2001,100
"217","C1","assessment_care_management","BLACKBURN WITH DARWEN","In House","1712",2001,100
"218","C1","assessment_care_management","BLACKBURN WITH DARWEN","External","0",2001,0
"219","C1","assessment_care_management","BLACKBURN WITH DARWEN","Total","1712",2001,100
"220","C1","assessment_care_management","BLACKPOOL","In House","1106.88249411765",2001,99.9999999999997
"221","C1","assessment_care_management","BLACKPOOL","External","0",2001,0
"222","C1","assessment_care_management","BLACKPOOL","Total","1106.88249411765",2001,100
"223","C1","assessment_care_management","BOURNEMOUTH","In House","2736",2001,100
"224","C1","assessment_care_management","BOURNEMOUTH","External","0",2001,0
"225","C1","assessment_care_management","BOURNEMOUTH","Total","2736",2001,100
"226","C1","assessment_care_management","BRACKNELL FOREST","In House","118",2001,95.1612903225807
"227","C1","assessment_care_management","BRACKNELL FOREST","External","6",2001,4.83870967741935
"228","C1","assessment_care_management","BRACKNELL FOREST","Total","124",2001,100
"229","C1","assessment_care_management","BRIGHTON AND HOVE","In House","2238.57132814579",2001,96.2938711263172
"230","C1","assessment_care_management","BRIGHTON AND HOVE","External","86.1574442692845",2001,3.70612887368269
"231","C1","assessment_care_management","BRIGHTON AND HOVE","Total","2324.72877241508",2001,100
"232","C1","assessment_care_management","BRISTOL","In House","4640",2001,95.9867604468349
"233","C1","assessment_care_management","BRISTOL","External","194",2001,4.01323955316508
"234","C1","assessment_care_management","BRISTOL","Total","4834",2001,100
"235","C1","assessment_care_management","DARLINGTON","In House","698",2001,100
"236","C1","assessment_care_management","DARLINGTON","External","0",2001,0
"237","C1","assessment_care_management","DARLINGTON","Total","698",2001,100
"238","C1","assessment_care_management","DERBY","In House","2538",2001,99.960614415124
"239","C1","assessment_care_management","DERBY","External","1",2001,0.0393855848759354
"240","C1","assessment_care_management","DERBY","Total","2539",2001,100
"241","C1","assessment_care_management","EAST RIDING OF YORKSHIRE","In House","2239.219104535",2001,82.8113574162352
"242","C1","assessment_care_management","EAST RIDING OF YORKSHIRE","External","464.780895465",2001,17.1886425837648
"243","C1","assessment_care_management","EAST RIDING OF YORKSHIRE","Total","2704",2001,100
"244","C1","assessment_care_management","HALTON","In House","1147",2001,84.5870206489676
"245","C1","assessment_care_management","HALTON","External","209",2001,15.4129793510324
"246","C1","assessment_care_management","HALTON","Total","1356",2001,100
"247","C1","assessment_care_management","HARTLEPOOL","In House","1414.66863990759",2001,99.1817501437544
"248","C1","assessment_care_management","HARTLEPOOL","External","11.6710222350563",2001,0.818249856245607
"249","C1","assessment_care_management","HARTLEPOOL","Total","1426.33966214265",2001,100
"250","C1","assessment_care_management","HEREFORDSHIRE","In House","1196",2001,100
"251","C1","assessment_care_management","HEREFORDSHIRE","External","0",2001,0
"252","C1","assessment_care_management","HEREFORDSHIRE","Total","1196",2001,100
