317,Sefton,"8,300",425,15,45,-,55,"1,945",150,110,125,220,295,75,90,20,15,220,"1,035",580,490,30,45,40,"1,505","1,010",515,335,"80,285","6,585","7,820","5,295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,030",0,"48,260","3,880",0,"2,705",925,0,"6,895","2,805",0,"2,495",0,"37,385",720,0,"1,934,120",0,475,0,115,0,270,0,10,0,75,20,10,-,"3,585",0,"9,000","1,330",680,660
207,Sheffield,"13,630",610,75,"1,390",-,20,"4,625",395,115,335,410,445,215,110,685,15,565,"3,750",875,0,100,100,85,"4,675","2,120",0,850,"118,030","4,875","17,075","6,255",-,0,0,0,365,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,330","2,550","75,150","3,190",0,"1,685","2,995",0,"14,075",910,0,"5,345","13,555","43,155","1,835","709,030","1,642,200",190,590,180,10,430,95,0,720,0,30,15,5,-,0,0,"10,025","1,520",820,"2,220"
410,Solihull,"5,405",240,15,55,-,15,"1,660",105,50,80,75,155,50,45,170,-,135,"1,060",445,0,25,45,35,"1,285",825,0,240,"30,080","1,325","9,145","1,070",250,0,0,0,860,0,0,0,180,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,"11,285","1,445","17,345",540,20,765,245,955,"7,945",305,0,760,"1,835","10,715",440,"77,165","536,200",365,360,190,40,"1,945",140,0,5,0,120,65,60,15,0,0,"6,735",535,520,135
109,South Tyneside,"5,105",220,20,120,-,30,"1,175",130,60,100,140,230,25,20,-,15,140,"1,270",315,55,30,20,15,"1,570",605,60,210,"39,005","1,915","3,500","3,200",725,0,0,0,270,40,0,0,75,0,0,0,0,0,0,0,470,0,"1,605",0,0,0,0,0,"10,980",595,"27,430","1,040",0,875,"1,080",0,"2,420",665,0,"2,535","3,010","11,145",530,"156,900","581,080",..,..,..,..,..,..,..,..,0,-,5,0,0,180,130,"7,815","1,105",515,260
318,St. Helens,"7,265",520,25,55,-,15,"1,715",125,55,110,55,170,65,20,90,-,180,"1,130",250,350,45,75,65,"1,340",570,365,370,"37,150","2,125","1,790","1,700",255,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,380","3,900","17,870",810,0,"1,315",175,0,"1,615",875,0,825,"1,835","12,540",430,"67,035","588,460",200,10,40,0,140,25,..,0,0,-,-,-,0,0,"1,820","2,280","1,010",210,335
310,Stockport,"7,635",425,30,735,-,10,"2,765",150,50,90,310,260,65,205,220,20,185,"1,405",135,540,15,20,15,"1,875",445,565,230,"54,260","2,230","4,570","1,790",0,0,0,0,"1,940",-,0,-,485,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,470",0,"41,790","1,210",0,"1,020",50,520,"4,000",350,0,"1,435","13,475","10,530",630,"700,750","547,455",125,155,25,20,60,245,0,145,0,55,20,15,5,0,"2,245","8,190",920,895,"1,245"
110,Sunderland,"8,835","1,040",70,115,150,-,"4,105",195,20,120,150,270,100,25,90,15,235,"1,570",240,440,70,120,105,"1,940",615,480,530,"64,160","2,365","4,695","1,625",0,15,0,0,"1,230",0,0,0,205,50,0,0,135,50,"1,030",0,990,50,"2,960",0,50,0,0,0,"15,765","3,065","45,330","1,300",270,795,240,"1,230","3,230",805,120,700,"5,525","12,275",555,"191,150","633,625",40,235,55,5,245,25,105,-,0,5,10,-,-,0,"2,195","13,870","2,420","1,180","1,055"
311,Tameside,"8,365","1,105",15,500,0,0,"3,005",180,65,65,215,240,50,"1,450",50,15,130,"1,805",295,395,30,15,10,"3,650",655,420,185,"47,900","2,300","1,680","2,160",0,0,0,0,"6,450",0,145,-,"2,105",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,070",0,"33,835","1,490",0,810,205,0,"1,475",555,0,"1,605","10,810","15,615",655,"562,030","811,965",0,205,50,-,215,25,75,15,0,25,10,-,0,"2,380",540,"5,405",860,460,"1,640"
312,Trafford,"6,565",615,70,275,0,440,"2,625",120,50,75,45,165,100,20,0,15,190,810,305,135,45,45,40,995,540,145,320,"38,605","1,305","4,440","2,020","1,145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,360","6,330","17,915",0,0,"1,305",0,0,"4,440",0,0,"2,020","3,680","7,175",410,"178,380","358,860",135,90,40,0,60,40,0,0,-,290,95,50,10,915,0,"4,445",655,410,650
213,Wakefield,"7,510",535,80,65,-,0,"2,895",175,40,155,280,370,50,20,100,10,215,"1,910",410,490,45,75,70,"2,385",920,520,400,"65,605","3,245","11,875","2,325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,610","4,410","46,590",735,0,"2,510",0,280,"11,595",210,0,"2,120","10,970","19,245",825,"570,545","1,000,740",340,55,-,35,330,45,100,0,0,10,-,-,0,"1,750",0,"5,405",810,775,520
411,Walsall,"7,050",570,20,60,-,20,"2,985",140,140,65,165,255,45,15,15,5,115,"1,700",555,490,55,75,75,"2,060",910,555,320,"56,345","2,770","11,885","4,755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,665",..,"34,680","1,170",720,880,435,"1,195","10,250","1,945",235,"2,570","2,020","14,655",610,"80,505","757,335",..,"2,275",140,0,"2,200",270,170,285,0,115,25,20,10,"1,895",0,"5,610",615,"1,440","1,045"
313,Wigan,"7,240",740,40,580,-,-,"2,725",180,85,165,280,370,100,50,265,25,290,"1,030",435,475,45,45,30,"1,745","1,155",525,410,"56,350","2,895","3,075","3,085",395,0,0,0,365,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,750","1,055","39,545","1,340",0,"1,555",175,"1,405","1,495","1,125",35,"1,925","6,990","27,040",615,..,..,430,15,85,5,285,130,55,210,0,305,90,45,-,"6,165",0,"8,040","1,400",710,"1,360"
319,Wirral,"6,690",740,65,480,-,70,"3,595",235,70,115,200,275,45,150,240,15,180,"1,395",165,415,35,35,25,"1,995",765,445,270,"69,935","4,660","8,520","5,810",60,0,0,0,"3,545",50,0,-,"4,310",235,0,0,0,0,0,0,80,0,305,115,"4,895",440,190,245,"31,215","2,515","36,205","1,430",950,"2,280",375,"1,695","6,445",150,425,"5,230","3,790","24,635",835,..,..,105,180,140,10,415,45,190,135,0,40,-,-,10,"2,445",0,"8,580","1,010",475,"1,255"
412,Wolverhampton,"5,850",360,50,180,10,25,"2,370",180,130,120,145,270,45,100,240,15,185,"1,540",985,795,35,65,50,"1,965","1,630",860,335,"48,820","2,295","6,285","3,995","1,455",0,0,0,"6,650",50,0,0,"1,990",75,0,50,20,0,0,0,505,15,"1,530",10,160,0,95,0,"11,860","9,585","27,375","1,155",275,865,"1,405","1,780","3,095","3,050",-,940,"1,380","12,685",515,"71,810","804,170",470,585,105,40,255,40,200,25,0,260,65,30,-,"1,735","2,935","6,925",890,360,435
610,Bedfordshire,"9,025",510,10,715,25,80,"3,100",220,115,205,160,495,30,30,165,30,265,"1,335",755,190,65,110,105,"1,750","1,540",200,545,"61,050","3,225","12,065",625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,830",0,0,0,65,0,"13,520",0,"47,530","2,030",0,"1,195",155,"1,250","10,660",135,0,490,"1,395","18,830",655,..,..,490,220,10,30,385,205,115,30,0,125,85,85,70,885,0,"14,980","2,235","1,095","1,445"
612,Buckinghamshire,"13,145",515,105,690,10,10,"3,910",265,55,165,315,340,70,80,275,120,360,"2,100",625,610,70,45,45,"2,760","1,290",630,515,"63,980","4,740","16,640","4,395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,50,"2,190",0,50,0,0,0,"27,000",0,"36,980","1,535",0,"3,205",470,530,"15,645",905,0,"3,495","4,340","29,805",710,..,..,365,315,10,55,490,30,150,230,..,375,115,90,10,"3,545",0,"15,980","1,725","1,080","1,490"
